,Date,Close,High,Low,Open,Volume,Symbol
121,2025-04-22,1285.814697265625,1297.8168123529733,1281.3824474996932,1294.8287460160134,759456,RELIANCE.BO
122,2025-04-23,1294.7291259765625,1300.5558308270215,1280.1872279269946,1290.6951879190844,420698,RELIANCE.BO
123,2025-04-24,1296.47216796875,1299.2609568488401,1285.3664974322237,1293.4841017213291,281535,RELIANCE.BO
124,2025-04-25,1294.8785400390625,1319.978247555636,1282.876425468145,1295.8247123711621,1543897,RELIANCE.BO
125,2025-04-28,1363.0562744140625,1369.4308403139464,1314.8986291161605,1327.0500503747423,1269304,RELIANCE.BO
126,2025-04-29,1394.7298583984375,1405.287668819407,1364.749494563548,1364.8989222022578,6415191,RELIANCE.BO
127,2025-04-30,1402.7476806640625,1406.2337579654672,1368.0363352798768,1399.3114531008544,3375628,RELIANCE.BO
128,2025-05-02,1416.2935791015625,1420.3275172479746,1402.7975525722386,1402.7975525722386,3746656,RELIANCE.BO
129,2025-05-05,1425.4072265625,1434.022842186907,1421.3235602019213,1421.3235602019213,428786,RELIANCE.BO
130,2025-05-06,1414.8992919921875,1426.3036967998855,1404.7397932680524,1426.3036967998855,311563,RELIANCE.BO
131,2025-05-07,1400.4071044921875,1419.2319469278411,1396.5724436368046,1406.433086968312,262093,RELIANCE.BO
132,2025-05-08,1399.2615966796875,1414.849366569895,1391.4926973959264,1399.3611745708781,573809,RELIANCE.BO
133,2025-05-09,1372.2694091796875,1389.450789915198,1366.5921320053221,1366.5921320053221,388444,RELIANCE.BO
134,2025-05-12,1430.8355712890625,1433.1761988660571,1394.4309155387841,1394.4309155387841,792769,RELIANCE.BO
135,2025-05-13,1410.56640625,1441.5925180331456,1407.3791842613591,1427.4987814321962,992150,RELIANCE.BO
136,2025-05-14,1418.58447265625,1424.112443932404,1409.869279301332,1412.458912438419,320533,RELIANCE.BO
137,2025-05-15,1448.0169677734375,1455.188278210811,1407.3792177357125,1418.5844662845636,479370,RELIANCE.BO
138,2025-05-16,1450.8057861328125,1454.3914414242827,1441.8415871117718,1447.9671474264292,338754,RELIANCE.BO
139,2025-05-19,1435.915283203125,1448.514987071217,1432.3296279640133,1448.514987071217,550729,RELIANCE.BO
140,2025-05-20,1419.63037109375,1438.8037968338413,1415.5465831488548,1429.9391756812165,670532,RELIANCE.BO
141,2025-05-21,1423.216064453125,1430.387375248849,1412.7079822105557,1419.2817040374248,507422,RELIANCE.BO
142,2025-05-22,1403.7935791015625,1416.8414443600943,1391.8413138415829,1414.3513890975987,388189,RELIANCE.BO
143,2025-05-23,1420.775634765625,1427.996794781501,1400.4070320443886,1400.4070320443886,386757,RELIANCE.BO
144,2025-05-26,1428.445068359375,1435.4669509644436,1420.3773139525158,1424.7099856168732,330120,RELIANCE.BO
145,2025-05-27,1416.094482421875,1431.5826753861081,1408.375310810291,1423.4650706002053,1302990,RELIANCE.BO
146,2025-05-28,1405.53662109375,1416.54259242905,1404.5903271409363,1416.0445813753788,260943,RELIANCE.BO
147,2025-05-29,1411.76171875,1414.5007794665873,1403.3452592336503,1407.7277806971354,309419,RELIANCE.BO
148,2025-05-30,1415.1483154296875,1425.058687160812,1404.3912276056228,1412.1602489879733,228179,RELIANCE.BO
149,2025-06-02,1408.8233642578125,1412.0107078235533,1390.3472278628658,1410.3173973585497,469571,RELIANCE.BO
150,2025-06-03,1400.357177734375,1421.373340634909,1397.418961267951,1414.1521806426122,1503679,RELIANCE.BO
151,2025-06-04,1417.53857421875,1419.3314625948656,1400.5564707223982,1404.7895645582073,312944,RELIANCE.BO
152,2025-06-05,1436.9112548828125,1448.7140920237441,1417.737830151663,1421.2736355278714,427025,RELIANCE.BO
153,2025-06-06,1437.8077392578125,1445.5766386230482,1431.034740399653,1437.9073171500472,1284697,RELIANCE.BO
154,2025-06-09,1442.837646484375,1451.1046788733775,1439.3515689972808,1448.7640511632753,452344,RELIANCE.BO
155,2025-06-10,1432.8773193359375,1447.618494541538,1430.7856973150047,1442.8375399924987,481509,RELIANCE.BO
156,2025-06-11,1442.987060546875,1462.1604865455135,1437.0607775084618,1439.152399664094,654096,RELIANCE.BO
157,2025-06-12,1433.8734130859375,1451.0547945774626,1428.3455632960245,1446.4232674236705,284782,RELIANCE.BO
158,2025-06-13,1421.970947265625,1429.6402686500896,1408.3752215525044,1414.3513540343397,313642,RELIANCE.BO
159,2025-06-16,1432.82763671875,1436.164286427792,1419.3314886663122,1419.3813384050693,350578,RELIANCE.BO
160,2025-06-17,1425.6064453125,1440.2479211886184,1420.1283238971907,1432.279744584532,2874904,RELIANCE.BO
161,2025-06-18,1424.1622314453125,1437.2599468929889,1419.8794091975112,1424.311659083142,277714,RELIANCE.BO
162,2025-06-19,1427.9471435546875,1434.1224320946335,1420.3275499829238,1424.3116384821747,702530,RELIANCE.BO
163,2025-06-20,1458.8238525390625,1464.1525466742978,1422.4191946664305,1424.3116610505074,690290,RELIANCE.BO
164,2025-06-23,1450.5567626953125,1457.180333984917,1436.2638698607316,1436.9610366976463,289434,RELIANCE.BO
165,2025-06-24,1444.2818603515625,1469.1325625209934,1437.558711336636,1460.9153803916386,3665221,RELIANCE.BO
166,2025-06-25,1461.4134521484375,1466.1445572073608,1454.3417194299407,1456.2341857704562,143268,RELIANCE.BO
167,2025-06-26,1489.252197265625,1492.7382746202588,1459.271956332721,1464.1026392071963,366253,RELIANCE.BO
168,2025-06-27,1510.0194091796875,1515.6468369850077,1491.1447167358604,1492.091010716692,340711,RELIANCE.BO
169,2025-06-30,1494.6805419921875,1518.883805315306,1490.447448199418,1510.019306169992,439730,RELIANCE.BO
170,2025-07-01,1522.2205810546875,1525.1089477952958,1494.6805464508648,1494.6805464508648,2842857,RELIANCE.BO
171,2025-07-02,1512.2105712890625,1523.9138311030895,1502.947517015132,1523.8142532088525,284423,RELIANCE.BO
172,2025-07-03,1512.90771484375,1525.6069965741162,1506.6825767406292,1512.7085590583415,168578,RELIANCE.BO
173,2025-07-04,1521.32421875,1523.415840896527,1511.2145698595982,1514.9496528300867,487883,RELIANCE.BO
174,2025-07-07,1535.0692138671875,1538.356135435321,1519.1827099855768,1519.1827099855768,392104,RELIANCE.BO
175,2025-07-08,1532.6788330078125,1539.4517102348698,1524.1627955473054,1528.8939004509812,1461338,RELIANCE.BO
176,2025-07-09,1513.0074462890625,1544.8303043107,1503.9933974913972,1524.9597116995901,548141,RELIANCE.BO
177,2025-07-10,1511.1646728515625,1518.7842661899713,1501.4037292781722,1513.0074109938166,458958,RELIANCE.BO
178,2025-07-11,1488.903564453125,1507.9275616403497,1484.1724596287895,1506.1845230208578,344599,RELIANCE.BO
179,2025-07-14,1478.6943359375,1493.983250344727,1473.465220087213,1488.5051289777598,2020839,RELIANCE.BO
180,2025-07-15,1478.9932861328125,1490.0989572066094,1476.303953429193,1479.1924419250513,892769,RELIANCE.BO
181,2025-07-16,1479.83984375,1484.9693819120157,1466.1445397947164,1466.1445397947164,130747,RELIANCE.BO
182,2025-07-17,1471.2242431640625,1484.4215362005011,1468.13659892154,1484.3219583058515,186828,RELIANCE.BO
183,2025-07-18,1470.9752197265625,1479.142673928818,1463.1564705284313,1476.2043357716777,357136,RELIANCE.BO
184,2025-07-21,1422.5186767578125,1469.0827086945594,1417.3892603469997,1469.0827086945594,1557147,RELIANCE.BO
185,2025-07-22,1407.1800537109375,1427.4988070260913,1404.8393045377684,1427.4988070260913,1522399,RELIANCE.BO
186,2025-07-23,1418.83349609375,1421.223973475368,1409.2218584126028,1421.223973475368,462898,RELIANCE.BO
187,2025-07-24,1397.0704345703125,1416.39328778892,1390.8950245478095,1414.3513938329452,332776,RELIANCE.BO
188,2025-07-25,1386.5623779296875,1396.3731715583838,1378.9926340855288,1396.3731715583838,385434,RELIANCE.BO
189,2025-07-28,1381.781494140625,1401.5026585724981,1379.4905946996514,1386.5623272219605,534884,RELIANCE.BO
190,2025-07-29,1412.3094482421875,1415.2975144579414,1377.9965364985037,1377.9965364985037,1026138,RELIANCE.BO
191,2025-07-30,1404.2916259765625,1417.588497100538,1395.775588127697,1412.3095311754923,317685,RELIANCE.BO
192,2025-07-31,1384.76953125,1396.8213739686983,1378.544393318366,1384.122092588165,527880,RELIANCE.BO
193,2025-08-01,1388.056396484375,1399.6600784522507,1378.7934637567892,1382.4288472122569,421543,RELIANCE.BO
194,2025-08-04,1405.68603515625,1410.3672903816762,1386.0145987261383,1401.2536638705267,275044,RELIANCE.BO
195,2025-08-05,1386.0643310546875,1405.3871841257362,1382.5782537021432,1405.3871841257362,854494,RELIANCE.BO
196,2025-08-06,1387.408935546875,1390.3970018468444,1377.8471477039188,1386.363185292723,134523,RELIANCE.BO
197,2025-08-07,1385.3172607421875,1388.3551766654546,1360.815142331696,1379.5901338851647,642904,RELIANCE.BO
198,2025-08-08,1362.5084228515625,1391.19390880318,1360.0682172691907,1382.4288654333157,938688,RELIANCE.BO
199,2025-08-11,1381.283447265625,1382.6777808877243,1355.7851851543405,1364.5502279531852,901134,RELIANCE.BO
200,2025-08-12,1374.908935546875,1395.675972081236,1369.6299697661282,1379.1420294853908,635905,RELIANCE.BO
201,2025-08-13,1377.1500244140625,1386.163951753158,1372.2196419123743,1384.2716069711237,369167,RELIANCE.BO
202,2025-08-14,1373.75,1380.75,1369.949951171875,1379.800048828125,447771,RELIANCE.BO
203,2025-08-18,1380.949951171875,1395.0,1377.1500244140625,1388.300048828125,422415,RELIANCE.BO
